fips_code,state,state_name,cbsa_code,county,new_cases_week_over_week_percent_change,new_cases_7_day_rolling_average,new_cases_per_100k_7_day_rolling_average,new_deaths_7_day_rolling_average,new_deaths_week_over_week_percent_change,new_deaths_per_100k_7_day_rolling_average,daily_cli_7_day_rolling_average,daily_cli_percentage_7_day_rolling_average,daily_ili_percentage_7_day_rolling_average,new_test_results_reported,new_test_results_reported_7_day_rolling_average,percent_new_test_results_reported_positive_7_day_rolling_average,percent_positive_7_day,total_test_results_reported_week_over_week_count_change,testing_suppressed,total_hospitals_reporting,admissions_covid_confirmed_last_7_days,admissions_covid_confirmed_7_day_rolling_average,admissions_covid_confirmed_last_7_days_per_100_beds,admissions_covid_confirmed_week_over_week_percent_change,percent_adult_inpatient_beds_used_confirmed_covid,percent_adult_inpatient_beds_used_confirmed_covid_week_over_week_absolute_change,hospitals_included_in_percent_adult_inpatient_beds_used_confirmed_covid,percent_adult_icu_beds_used_confirmed_covid,percent_adult_icu_beds_used_confirmed_covid_week_over_week_absolute_change,hospitals_included_in_percent_adult_icu_beds_used_confirmed_covid,cbsa_daily_cli_7_day_rolling_average,cbsa_daily_cli_percentage_7_day_rolling_average,cbsa_daily_ili_7_day_rolling_average,cbsa_daily_ili_percentage_7_day_rolling_average,date,report_date_window_start,report_date_window_end
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-03-07T00:00:00,2020-03-01T00:00:00,2020-03-07T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-03-08T00:00:00,2020-03-02T00:00:00,2020-03-08T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-03-09T00:00:00,2020-03-03T00:00:00,2020-03-09T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-03-10T00:00:00,2020-03-04T00:00:00,2020-03-10T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-03-11T00:00:00,2020-03-05T00:00:00,2020-03-11T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-03-12T00:00:00,2020-03-06T00:00:00,2020-03-12T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-03-13T00:00:00,2020-03-07T00:00:00,2020-03-13T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-03-14T00:00:00,2020-03-08T00:00:00,2020-03-14T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-03-29T00:00:00,2020-03-23T00:00:00,2020-03-29T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,2020-03-30T00:00:00,2020-03-24T00:00:00,2020-03-30T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,0.29,0.0,,,,,,,,,,,,,,,,,,,2020-03-22T00:00:00,2020-03-16T00:00:00,2020-03-22T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,0.29,0.0,,,,,,,,,,,,,,,,,,,2020-03-23T00:00:00,2020-03-17T00:00:00,2020-03-23T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,0.29,0.0,,,,,,,,,,,,,,,,,,,2020-03-24T00:00:00,2020-03-18T00:00:00,2020-03-24T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,0.33,0.0,,,,,,,,,,,,,,,,,,,2020-03-20T00:00:00,2020-03-14T00:00:00,2020-03-20T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,0.4,0.0,,,,,,,,,,,,,,,,,,,2020-03-19T00:00:00,2020-03-13T00:00:00,2020-03-19T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,0.5,0.0,,,,,,,,,,,,,,,,,,,2020-03-18T00:00:00,2020-03-12T00:00:00,2020-03-18T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,0.57,0.0,,,,,,,,,,,,,,,,,,,2020-03-21T00:00:00,2020-03-15T00:00:00,2020-03-21T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,0.67,0.0,,,,,,,,,,,,,,,,,,,2020-03-17T00:00:00,2020-03-11T00:00:00,2020-03-17T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,0.71,0.0,,,,,,,,,,,,,,,,,,,2020-03-25T00:00:00,2020-03-19T00:00:00,2020-03-25T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,2020-03-16T00:00:00,2020-03-10T00:00:00,2020-03-16T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,2020-03-26T00:00:00,2020-03-20T00:00:00,2020-03-26T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,1.29,0.0,,,,,,,,,,,,,,,,,,,2020-03-27T00:00:00,2020-03-21T00:00:00,2020-03-27T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,1.29,0.0,,,,,,,,,,,,,,,,,,,2020-03-28T00:00:00,2020-03-22T00:00:00,2020-03-28T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,1.86,0.0,,,,,,,,,,,,,,,,,,,2020-05-26T00:00:00,2020-05-20T00:00:00,2020-05-26T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,2020-03-15T00:00:00,2020-03-09T00:00:00,2020-03-15T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,2020-04-10T00:00:00,2020-04-04T00:00:00,2020-04-10T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,2.14,0.0,,,,,,,,,,,,,,,,,,,2020-05-24T00:00:00,2020-05-18T00:00:00,2020-05-24T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,2.14,0.0,,,,,,,,,,,,,,,,,,,2020-05-25T00:00:00,2020-05-19T00:00:00,2020-05-25T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,2.29,0.0,,,,,,,,,,,,,,,,,,,2020-05-27T00:00:00,2020-05-21T00:00:00,2020-05-27T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,2.43,0.0,,,,,,,,,,,,,,,,,,,2020-04-26T00:00:00,2020-04-20T00:00:00,2020-04-26T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,2.43,0.0,,,,,,,,,,,,,,,,,,,2020-04-30T00:00:00,2020-04-24T00:00:00,2020-04-30T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,2.43,0.0,,,,,,,,,,,,,,,,,,,2020-05-02T00:00:00,2020-04-26T00:00:00,2020-05-02T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,2.43,0.0,,,,,,,,,,,,,,,,,,,2020-05-28T00:00:00,2020-05-22T00:00:00,2020-05-28T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,2.43,0.0,,,,,,,,,,,,,,,,,,,2020-05-29T00:00:00,2020-05-23T00:00:00,2020-05-29T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,2.57,0.0,,,,,,,,,,,,,,,,,,,2020-04-11T00:00:00,2020-04-05T00:00:00,2020-04-11T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,2.57,0.0,,,,,,,,,,,,,,,,,,,2020-04-12T00:00:00,2020-04-06T00:00:00,2020-04-12T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,2.57,0.0,,,,,,,,,,,,,,,,,,,2020-04-27T00:00:00,2020-04-21T00:00:00,2020-04-27T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,2.57,0.0,,,,,,,,,,,,,,,,,,,2020-04-29T00:00:00,2020-04-23T00:00:00,2020-04-29T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,2.57,0.0,,,,,,,,,,,,,,,,,,,2020-05-30T00:00:00,2020-05-24T00:00:00,2020-05-30T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,2.57,0.0,,,,,,,,,,,,,,,,,,,2020-06-01T00:00:00,2020-05-26T00:00:00,2020-06-01T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,2.71,0.0,,,,,,,,,,,,,,,,,,,2020-04-28T00:00:00,2020-04-22T00:00:00,2020-04-28T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,2.71,0.0,,,,,,,,,,,,,,,,,,,2020-05-01T00:00:00,2020-04-25T00:00:00,2020-05-01T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,2.86,0.0,,,,,,,,,,,,,,,,,,,2020-04-09T00:00:00,2020-04-03T00:00:00,2020-04-09T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,2.86,0.0,,,,,,,,,,,,,,,,,,,2020-04-13T00:00:00,2020-04-07T00:00:00,2020-04-13T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,2.86,0.0,,,,,,,,,,,,,,,,,,,2020-05-31T00:00:00,2020-05-25T00:00:00,2020-05-31T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,2.86,4.76,,,,,,,,,,,,,,,,,,,2020-05-03T00:00:00,2020-04-27T00:00:00,2020-05-03T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,3.0,0.0,,,,,,,,,,,,,,,,,,,2020-03-31T00:00:00,2020-03-25T00:00:00,2020-03-31T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,3.0,4.76,,,,,,,,,,,,,,,,,,,2020-05-04T00:00:00,2020-04-28T00:00:00,2020-05-04T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,3.14,0.0,,,,,,,,,,,,,,,,,,,2020-04-01T00:00:00,2020-03-26T00:00:00,2020-04-01T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,3.14,0.0,,,,,,,,,,,,,,,,,,,2020-04-24T00:00:00,2020-04-18T00:00:00,2020-04-24T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,3.43,0.0,,,,,,,,,,,,,,,,,,,2020-04-14T00:00:00,2020-04-08T00:00:00,2020-04-14T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,3.43,0.0,,,,,,,,,,,,,,,,,,,2020-04-15T00:00:00,2020-04-09T00:00:00,2020-04-15T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,3.57,0.0,,,,,,,,,,,,,,,,,,,2020-04-07T00:00:00,2020-04-01T00:00:00,2020-04-07T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,3.57,0.0,,,,,,,,,,,,,,,,,,,2020-04-25T00:00:00,2020-04-19T00:00:00,2020-04-25T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,3.57,0.0,,,,,,,,,,,,,,,,,,,2020-05-10T00:00:00,2020-05-04T00:00:00,2020-05-10T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,3.57,4.76,,,,,,,,,,,,,,,,,,,2020-05-06T00:00:00,2020-04-30T00:00:00,2020-05-06T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,3.57,4.76,,,,,,,,,,,,,,,,,,,2020-05-07T00:00:00,2020-05-01T00:00:00,2020-05-07T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,3.71,0.0,,,,,,,,,,,,,,,,,,,2020-05-14T00:00:00,2020-05-08T00:00:00,2020-05-14T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,3.71,0.0,,,,,,,,,,,,,,,,,,,2020-05-15T00:00:00,2020-05-09T00:00:00,2020-05-15T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,3.71,0.0,,,,,,,,,,,,,,,,,,,2020-05-23T00:00:00,2020-05-17T00:00:00,2020-05-23T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,3.71,4.76,,,,,,,,,,,,,,,,,,,2020-05-05T00:00:00,2020-04-29T00:00:00,2020-05-05T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,3.71,4.76,,,,,,,,,,,,,,,,,,,2020-05-08T00:00:00,2020-05-02T00:00:00,2020-05-08T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,3.86,0.0,,,,,,,,,,,,,,,,,,,2020-04-08T00:00:00,2020-04-02T00:00:00,2020-04-08T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,3.86,0.0,,,,,,,,,,,,,,,,,,,2020-05-12T00:00:00,2020-05-06T00:00:00,2020-05-12T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,3.86,0.0,,,,,,,,,,,,,,,,,,,2020-05-13T00:00:00,2020-05-07T00:00:00,2020-05-13T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,3.86,4.76,,,,,,,,,,,,,,,,,,,2020-05-09T00:00:00,2020-05-03T00:00:00,2020-05-09T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,4.0,0.0,,,,,,,,,,,,,,,,,,,2020-05-16T00:00:00,2020-05-10T00:00:00,2020-05-16T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,4.14,0.0,,,,,,,,,,,,,,,,,,,2020-04-06T00:00:00,2020-03-31T00:00:00,2020-04-06T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,4.14,0.0,,,,,,,,,,,,,,,,,,,2020-05-19T00:00:00,2020-05-13T00:00:00,2020-05-19T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,4.14,0.0,,,,,,,,,,,,,,,,,,,2020-05-22T00:00:00,2020-05-16T00:00:00,2020-05-22T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,4.43,0.0,,,,,,,,,,,,,,,,,,,2020-04-02T00:00:00,2020-03-27T00:00:00,2020-04-02T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,4.43,0.0,,,,,,,,,,,,,,,,,,,2020-05-11T00:00:00,2020-05-05T00:00:00,2020-05-11T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,4.57,0.0,,,,,,,,,,,,,,,,,,,2020-04-16T00:00:00,2020-04-10T00:00:00,2020-04-16T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,4.57,0.0,,,,,,,,,,,,,,,,,,,2020-05-18T00:00:00,2020-05-12T00:00:00,2020-05-18T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,4.57,0.0,,,,,,,,,,,,,,,,,,,2020-05-20T00:00:00,2020-05-14T00:00:00,2020-05-20T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,4.57,0.0,,,,,,,,,,,,,,,,,,,2020-05-21T00:00:00,2020-05-15T00:00:00,2020-05-21T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,4.71,0.0,,,,,,,,,,,,,,,,,,,2020-04-05T00:00:00,2020-03-30T00:00:00,2020-04-05T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,5.29,0.0,,,,,,,,,,,,,,,,,,,2020-04-04T00:00:00,2020-03-29T00:00:00,2020-04-04T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,5.57,0.0,,,,,,,,,,,,,,,,,,,2020-04-03T00:00:00,2020-03-28T00:00:00,2020-04-03T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,5.57,0.0,,,,,,,,,,,,,,,,,,,2020-04-23T00:00:00,2020-04-17T00:00:00,2020-04-23T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,5.57,0.0,,,,,,,,,,,,,,,,,,,2020-05-17T00:00:00,2020-05-11T00:00:00,2020-05-17T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,6.0,0.0,,,,,,,,,,,,,,,,,,,2020-04-18T00:00:00,2020-04-12T00:00:00,2020-04-18T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,6.57,0.0,,,,,,,,,,,,,,,,,,,2020-04-17T00:00:00,2020-04-11T00:00:00,2020-04-17T00:00:00
49001,UT,,,Beaver County,0.0,0.0,,0.0,,,,,,,6.86,0.0,,,,,,,,,,,,,,,,,,,2020-04-22T00:00:00,2020-04-16T00:00:00,2020-04-22T00:00:00
